Date,Suspected,Confirmed,Recovered,Deaths,Active
"Jan 21, 2020",54,291,25,6,260
"Jan 22, 2020",37,440,28,9,403
"Jan 23, 2020",257,571,28,17,526
"Jan 24, 2020",1072,830,34,25,771
"Jan 25, 2020",1965,1287,38,41,1208
"Jan 26, 2020",2684,1975,49,56,1870
"Jan 27, 2020",5794,2744,51,80,2613
"Jan 28, 2020",6973,4515,60,106,4349
"Jan 29, 2020",9239,5974,103,132,5739
"Jan 30, 2020",12167,7711,124,170,7417
"Jan 31, 2020",15238,9692,171,213,9308
"Feb 1, 2020",17988,11791,243,259,11289
"Feb 2, 2020",19544,14380,328,304,13748
"Feb 3, 2020",21558,17205,475,361,16369
"Feb 4, 2020",23214,20438,632,425,19381
"Feb 5, 2020",23260,24324,892,490,22942
"Feb 6, 2020",24702,28018,1153,563,26302
"Feb 7, 2020",26359,31161,1540,636,28985
"Feb 8, 2020",27657,34546,2050,722,31774
"Feb 9, 2020",28942,37198,2649,811,33738
"Feb 10, 2020",23589,40171,3281,908,35982
"Feb 11, 2020",21675,42638,3996,1016,37626
"Feb 12, 2020",16067,44653,4740,1113,38800
"Feb 13, 2020",13435,59804,5911,1259,52634
"Feb 14, 2020",10109,63851,6723,1380,55480
"Feb 15, 2020",8969,66492,8096,1523,56873
"Feb 16, 2020",8228,68501,9419,1665,57417
"Feb 17, 2020",7264,70548,10844,1770,57934
"Feb 18, 2020",6242,72436,12552,1868,58016
"Feb 19, 2020",5248,74185,14376,2004,57805
"Feb 20, 2020",4922,75002,16157,2118,56727
"Feb 21, 2020",5206,75891,18266,2236,55389
"Feb 22, 2020",5365,76288,20659,2345,53284
"Feb 23, 2020",4148,76936,22888,2442,51606
"Feb 24, 2020",3434,77150,24734,2592,49824
"Feb 25, 2020",2824,77658,27323,2663,47672
"Feb 26, 2020",2491,78064,29745,2715,45604
"Feb 27, 2020",2358,78497,32495,2744,43258
"Feb 28, 2020",2308,78824,36117,2788,39919
"Feb 29, 2020",1418,79251,39002,2835,37414
"Mar 1, 2020",851,79824,41625,2870,35329
"Mar 2, 2020",715,80026,44462,2912,32652
"Mar 3, 2020",587,80151,47204,2943,30004
"Mar 4, 2020",520,80270,49856,2981,27433
"Mar 5, 2020",522,80409,52045,3012,25352
"Mar 6, 2020",482,80552,53726,3042,23784
"Mar 7, 2020",502,80651,55404,3070,22177
"Mar 8, 2020",458,80695,57065,3097,20533
"Mar 9, 2020",421,80735,58600,3119,19016
"Mar 10, 2020",349,80754,59897,3136,17721
"Mar 11, 2020",285,80778,61475,3158,16145
"Mar 12, 2020",253,80793,62793,3169,14831
"Mar 13, 2020",147,80813,64111,3176,13526
"Mar 14, 2020",115,80824,65541,3189,12094
"Mar 15, 2020",113,80844,66911,3199,10734
"Mar 16, 2020",134,80860,67749,3213,9898
"Mar 17, 2020",128,80881,68679,3226,8976
"Mar 18, 2020",119,80894,69601,3237,8056
"Mar 19, 2020",105,80928,70420,3245,7263
"Mar 20, 2020",104,80967,71150,3248,6569
"Mar 21, 2020",106,81008,71740,3255,6013
"Mar 22, 2020",118,81054,72244,3261,5549
"Mar 23, 2020",136,81093,72703,3270,5120
"Mar 24, 2020",132,81171,73159,3277,4735
"Mar 25, 2020",134,81218,73650,3281,4287
"Mar 26, 2020",159,81285,74051,3287,3947
"Mar 27, 2020",189,81340,74588,3292,3460
"Mar 28, 2020",184,81394,74971,3295,3128
"Mar 29, 2020",174,81439,75448,3300,2691
"Mar 30, 2020",168,81470,75770,3304,2396
"Mar 31, 2020",183,81518,76052,3305,2161
"Apr 1, 2020",172,81554,76238,3312,2004
"Apr 2, 2020",153,81589,76408,3318,1863
"Apr 3, 2020",135,81620,76571,3322,1727
"Apr 4, 2020",114,81639,76751,3326,1562
"Apr 5, 2020",107,81669,76964,3329,1376
"Apr 6, 2020",88,81708,77078,3331,1299
"Apr 7, 2020",89,81740,77167,3331,1242
"Apr 8, 2020",83,81802,77279,3333,1190
"Apr 9, 2020",73,81865,77370,3335,1160
"Apr 10, 2020",53,81907,77455,3336,1116
"Apr 11, 2020",44,81953,77525,3339,1089
"Apr 12, 2020",82,82052,77575,3339,1138
"Apr 13, 2020",72,82160,77663,3341,1156
"Apr 14, 2020",72,82249,77738,3341,1170
"Apr 15, 2020",73,82295,77816,3342,1137
"Apr 16, 2020",63,82341,77892,3342,1107
"Apr 17, 2020",62,82692,76979,4632,1081
"Apr 18, 2020",63,82719,77029,4632,1058
"Apr 19, 2020",48,82735,77062,4632,1041
"Apr 20, 2020",43,82747,77084,4632,1031
"Apr 21, 2020",37,82758,77123,4632,1003
,35,82788,77151,4632,1005
,37,82798,77207,4632,959
,20,82804,77257,4632,915
,17,82816,77346,4632,838
,12,82827,77394,4632,801
,10,82830,77474,4633,723
,9,82836,77555,4633,648
,10,82858,77578,4633,647
